1A,96362,1A,1.0
1B,96363,1B,1.0
2A,96364,2A,1.0
2B,96365,2B,1.0
3A,96366,3A,1.0
3B,96367,3B,1.0
3C,96368,3C,1.0
4A,96369,4A,1.0
4B,96370,4B,1.0
4C,96371,4C,1.0
5A,96372,5A,1.0
5B,96373,5B,1.0
5C,96374,5C,1.0
6A,96375,6A,1.0
6B,96376,6B,1.0
7,96406,7,1.0
8,96407,8,1.0
Northern,96379,Northern,1.0
North-Central,96380,North Central,0.9692307692307692
South-Central,96381,South Central,0.9692307692307692
Southern,96382,Southern,1.0
Climate Zone 1,,,
Climate Zone 2,,,
Climate Zone 3,,,
Climate Zone 4,,,
Climate Zone 5,,,
Climate Zone 6,,,
Climate Zone 7,,,
Climate Zone 8,,,
Climate Zone 9,,,
Climate Zone 10,,,
Climate Zone 11,,,
Climate Zone 12,,,
Climate Zone 13,,,
Climate Zone 14,,,
Climate Zone 15,,,
Climate Zone 16,,,
1,102645,1,1.0
2,102646,2,1.0
3,102647,3,1.0
4 (Except Marine),,,
4 (Marine),,,
5,102649,5,1.0
6,96405,6,1.0
Subarctic,96421,Subarctic,1.0
Marine,96422,Marine,1.0
Hot-dry,96423,Hot dry,0.9333333333333333
Mixed-dry,96424,Mixed dry,0.9555555555555556
Hot-humid,96425,Hot humid,0.9481481481481482
Mixed-humid,96426,Mixed humid,0.9636363636363636
Cold,96427,Cold,1.0
Very cold,96428,Very cold,1.0
4,102648,4,1.0
AKGD,96429,AKGD,1.0
AKMS,96430,AKMS,1.0
AZNM,96431,AZNM,1.0
CAMX,96432,CAMX,1.0
ERCT,96433,ERCT,1.0
FRCC,96434,FRCC,1.0
HIMS,96435,HIMS,1.0
HIOA,96436,HIOA,1.0
MORE,96437,MORE,1.0
MROW,96438,MROW,1.0
NEWE,96439,NEWE,1.0
NWPP,96440,NWPP,1.0
NYCW,96441,NYCW,1.0
NYLI,96442,NYLI,1.0
NYUP,96443,NYUP,1.0
RFCE,96444,RFCE,1.0
RFCM,96445,RFCM,1.0
RFCW,96446,RFCW,1.0
RMPA,96447,RMPA,1.0
SPNO,96448,SPNO,1.0
SPSO,96449,SPSO,1.0
SRMV,96450,SRMV,1.0
SRMW,96451,SRMW,1.0
SRSO,96452,SRSO,1.0
SRTV,96453,SRTV,1.0
SRVC,96454,SRVC,1.0
Other,,,
FAA,96456,FAA,1.0
ICAO,96457,ICAO,1.0
NWS,96458,NWS,1.0
WBAN,96459,WBAN,1.0
WMO,96460,WMO,1.0
Commercial,103095,Commercial,1.0
Residential,103094,Residential,1.0
Mixed use commercial,96464,Mixed use commercial,1.0
Lots,96466,Lot,0.9166666666666666
Parking spaces,96467,Parking space,0.9857142857142858
Apartment units,96468,Apartment unit,0.9866666666666667
Businesses,96469,Business,0.96
Guest rooms,96470,Guest room,0.9818181818181818
Stations,96471,Station,0.975
Buildings,96472,Building,0.9777777777777777
Areas,96473,Area,0.96
Thermal Zones,96474,Thermal zone,0.9525641025641025
Floors,96475,Floor,0.9666666666666667
Rooms,96476,Room,0.96
Bedrooms,96477,Bedroom,0.975
Unknown,,,
Draft,102639,Draft,1.0
Received,102640,Received,1.0
Under Review,102641,Under review,0.9666666666666666
On Hold,102642,On hold,0.9333333333333333
Reviewed and Approved,102643,Reviewed and approved,0.9809523809523809
Reviewed and Not Approved,102644,Reviewed and not approved,0.968
Multiple Heights,96486,Multiple heights,0.9483333333333334
Uniform Height,96487,Uniform height,0.9406593406593406
No abutments,,,
Attached from Above,96489,Attached from above,0.9789473684210526
Attached from Below,96490,Attached from below,0.9789473684210526
Attached from Above and Below,96491,Attached from above and below,0.9501915708812261
Stand-alone,98689,Stand alone,0.9636363636363636
Attached on one side,96494,Attached on one side,1.0
Attached on two sides,96495,Attached on two sides,1.0
Attached on three sides,96496,Attached on three sides,1.0
Within a building,,,
ENERGY STAR,101852,ENERGY STAR,1.0
ENERGY STAR Certified Homes,96500,ENERGY STAR Certified Homes,1.0
LEED,96501,LEED,1.0
Home Energy Upgrade Certificate of Energy Efficiency Performance,96502,Home Energy Upgrade Certificate of Energy Efficiency Performance,1.0
Home Energy Upgrade Certificate of Energy Efficiency Improvements,96503,Home Energy Upgrade Certificate of Energy Efficiency Improvements,1.0
Passive House,96504,Passive House,1.0
Living Building Challenge,96505,Living Building Challenge,1.0
Green Globes,96506,Green Globes,1.0
Challenge Home,96507,Challenge Home,1.0
WaterSense,96508,WaterSense,1.0
Indoor airPLUS,96509,Indoor airPLUS,1.0
NGBS ICC 700,96510,NGBS ICC 700,1.0
CMP Green Value Score,96511,CMP Green Value Score,1.0
RESNET HERS,96512,RESNET HERS,1.0
Home Energy Score,96513,Home Energy Score,1.0
ASHRAE Building EQ,96514,ASHRAE Building EQ,1.0
Commercial Building Energy Asset Score,96515,Commercial Building Energy Asset Score,1.0
Bronze,96518,Bronze,1.0
Silver,96519,Silver,1.0
Gold,96520,Gold,1.0
Emerald,96521,Emerald,1.0
Certified,96522,Certified,1.0
Platinum,96523,Platinum,1.0
One Star,96524,One Star,1.0
Two Star,96525,Two Star,1.0
Three Star,96526,Three Star,1.0
Four Star,96527,Four Star,1.0
Owner,103122,Owner,1.0
Occupant,103120,Occupant,1.0
Tenant,103057,Tenant,1.0
Landlord,96532,Landlord,1.0
Rectangular,96535,Rectangular,1.0
L-Shape,,,
U-Shape,,,
H-Shape,,,
T-Shape,96539,T Shape,0.9142857142857143
O-Shape,,,
Perimeter,96543,Perimeter,1.0
Perimeter and core,96544,Perimeter and core,1.0
Single zone,98010,Single zone,1.0
A1,,,
A2,,,
A3,,,
B1,,,
B2,,,
B3,,,
C1,,,
C2,,,
C3,,,
D1,,,
D2,,,
D3,,,
AO1,,,
BO1,,,
During the day,97868,During the day,1.0
At night,97869,At night,1.0
During sleeping and unoccupied hours,97870,During sleeping and unoccupied hours,1.0
Never / rarely,96565,Never or rarely,0.9282783882783883
Seasonal,97871,Seasonal,1.0
Never-rarely,97872,Never or rarely,0.9118181818181819
Low,96575,Low,1.0
High,96576,High,1.0
Premises,103119,Premises,1.0
Listing,97261,Listing,1.0
Name,97262,Name,1.0
Portfolio Manager Property ID,97263,Portfolio Manager Property,0.9793103448275863
Portfolio Manager Standard,97264,Portfolio Manager,0.9307692307692308
Federal real property,97265,Federal real property,1.0
Tax book number,97266,Tax book number,1.0
Tax map number,97267,Tax map number,1.0
Assessor parcel number,97268,Assessor parcel number,1.0
Tax parcel letter,97269,Tax parcel letter,1.0
Custom,103080,Customer,0.95
Manufactured home,97272,Manufactured home,1.0
Single family,97273,Single family,1.0
Multifamily,97274,Multifamily,1.0
Multifamily with commercial,97275,Multifamily with commercial,1.0
Multifamily individual unit,97276,Multifamily individual unit,1.0
Public housing,97277,Public housing,1.0
Health care-Pharmacy,97279,Health care pharmacy,0.96
Health care-Skilled nursing facility,97280,Health care skilled nursing facility,0.9366013071895425
Health care-Residential treatment center,97281,Health care residential treatment center,0.911578947368421
Health care-Inpatient hospital,97282,Health care inpatient hospital,0.9233333333333333
Health care-Outpatient rehabilitation,97283,Health care outpatient rehabilitation,0.9498069498069498
Health care-Diagnostic center,97284,Health care diagnostic center,0.9353767560664111
Health care-Outpatient non-diagnostic,97285,Health care outpatient non diagnostic,0.9146263910969793
Health care-Outpatient surgical,97286,Health care outpatient surgical,0.9397107897664071
Health care-Veterinary,97287,Health care veterinary,0.9636363636363636
Health care-Morgue or mortuary,97288,Health care morgue or mortuary,0.9376190476190477
Health care,97289,Health care,1.0
Gas station,97290,Gas station,1.0
Convenience store,97291,Convenience store,1.0
Food sales-Grocery store,97292,Food sales grocery store,0.9393939393939393
Food sales,97293,Food sales,1.0
Laboratory-Testing,97294,Laboratory testing,0.9430555555555555
Laboratory-Medical,97295,Laboratory medical,0.9555555555555556
Laboratory ,97296,Laboratory,0.9818181818181818
Vivarium,97297,Vivarium,1.0
Office,103663,Office,1.0
Bank,97299,Bank,1.0
Courthouse,102761,Courthouse,1.0
Public safety station,97301,Public safety station,1.0
Public safety-Detention center,97302,Public safety detention center,0.9447619047619048
Public safety-Correctional facility,97303,Public safety correctional facility,0.9347186147186146
Public safety,97304,Public safety,1.0
Warehouse-Refrigerated,97305,Warehouse refrigerated,0.9336363636363636
Warehouse-Unrefrigerated,97306,Warehouse unrefrigerated,0.9666666666666666
Warehouse-Self-storage,97307,Warehouse self storage,0.9244019138755981
Warehouse,97308,Warehouse,1.0
Assembly-Religious,97309,Assembly religious,0.9555555555555556
Assembly-Cultural entertainment,97310,Assembly cultural entertainment,0.946607341490545
Assembly-Social entertainment,97311,Assembly social entertainment,0.9501915708812261
Assembly-Arcade or casino without lodging,97312,Assembly arcade or casino without lodging,0.9189493433395873
Assembly-Convention center,97313,Assembly convention center,0.9275641025641026
Assembly-Stadium,97314,Assembly stadium,0.95
Assembly-Public,97315,Assembly public,0.9466666666666667
Recreation-Pool,97316,Recreation pool,0.9466666666666667
Staffed beds,97203,Staffed beds,1.0
Recreation-Fitness center,97317,Recreation fitness center,0.9419130434782609
Recreation-Ice rink,97318,Recreation ice rink,0.9343653250773993
Recreation-Indoor sport,97319,Recreation indoor sport,0.9461697722567287
Recreation,97320,Recreation,1.0
Education-Higher,97321,Education higher,0.9357142857142857
Education-Secondary,97322,Education secondary,0.9578947368421054
Education-Primary,97323,Education primary,0.9529411764705882
Education-Preschool or daycare,97324,Education preschool or daycare,0.9376190476190477
Education,102762,Education,1.0
Food service-Fast,97326,Food service fast,0.9529411764705882
Food service-Full,97327,Food service full,0.9529411764705882
Food service-Limited,97328,Food service limited,0.96
Food service-Institutional,97329,Food service institutional,0.9358974358974359
Food service,97330,Food service,1.0
Lodging-Institutional,97331,Lodging institutional,0.9197994987468672
Lodging with extended amenities,97332,Lodging with extended amenities,1.0
Lodging with limited amenities,97333,Lodging with limited amenities,1.0
Lodging,102764,Lodging,1.0
Retail-Mall,97335,Retail mall,0.9272727272727274
Retail-Strip mall,97336,Retail mall,0.9294117647058824
Retail-Enclosed mall,97337,Retail enclosed mall,0.9155555555555556
Retail-Dry goods retail,97338,Retail dry goods retail,0.9271221532091097
Retail-Hypermarket,97339,Retail hypermarket,0.9555555555555556
Retail,102773,Retail,1.0
Service-Postal,97341,Service postal,0.9428571428571428
Service-Repair,97342,Servicer,0.9142857142857143
Service-Laundry or dry cleaning,97343,Service laundry or dry cleaning,0.9259176863181312
Service-Studio,97344,Service studio,0.9428571428571428
Service-Beauty and health,97345,Service beauty and health,0.9245217391304349
Service-Production and assembly,97346,Service production and assembly,0.9259176863181312
Service,103139,Service,1.0
Transportation terminal,97348,Transportation terminal,1.0
Central Plant,97349,Central plant,0.9692307692307692
Water treatment-Wastewater,97350,Water treatment wastewater,0.9525641025641025
Water treatment-Drinking water and distribution,97351,Water treatment drinking water and distribution,0.9429787234042554
Water treatment,97352,Water treatment,1.0
Energy generation plant,97353,Energy generation plant,1.0
Industrial manufacturing plant,97354,Industrial manufacturing plant,1.0
Utility,103146,Utility,1.0
Industrial,103096,Industrial,1.0
Agricultural estate,97357,Agricultural estate,1.0
Mixed-use commercial,97358,Mixed use commercial,0.9589473684210527
Parking,97359,Parking,1.0
Attic,101878,Attic,1.0
Basement,103649,Basement,1.0
Dining area,97362,Dining area,1.0
Living area,97363,Living area,1.0
Sleeping area,97364,Sleeping area,1.0
Laundry area,97365,Laundry area,1.0
Lodging area,97366,Lodging area,1.0
Dressing area,97367,Dressing area,1.0
Restroom,97368,Restroom,1.0
Auditorium,97369,Auditorium,1.0
Classroom,97370,Classroom,1.0
Day room,97371,Day room,1.0
Sport play area,97372,Sport play area,1.0
Stage,97373,Stage,1.0
Spectator area,97374,Spectator area,1.0
Office work area,97375,Office work area,1.0
Non-office work area,97376,Non office work area,0.9152631578947368
Common area,97377,Common area,1.0
Reception area,97378,Reception area,1.0
Waiting area,97379,Waiting area,1.0
Transportation waiting area,97380,Transportation waiting area,1.0
Lobby,103660,Lobby,1.0
Conference room,97382,Conference room,1.0
Computer lab,97383,Computer lab,1.0
Data center,97384,Data center,1.0
Printing room,97385,Printing room,1.0
Media center,97386,Media center,1.0
Telephone data entry,97387,Telephone data entry,1.0
Darkroom,97388,Darkroom,1.0
Courtroom,97389,Courtroom,1.0
Kitchen,102147,Kitchen,1.0
Kitchenette,97391,Kitchenette,1.0
Refrigerated storage,97392,Refrigerated storage,1.0
Bar,97393,Bar,1.0
Dance floor,97394,Dance floor,1.0
Security room,97395,Security room,1.0
Shipping and receiving,97396,Shipping and receiving,1.0
Mechanical room,97397,Mechanical room,1.0
Chemical storage room,97398,Chemical storage room,1.0
Non-chemical storage room,97399,Non chemical storage room,0.9035555555555554
Janitorial closet,97400,Janitorial closet,1.0
Vault,97401,Vault,1.0
Corridor,103653,Corridor,1.0
Deck,97403,Deck,1.0
Courtyard,97404,Courtyard,1.0
Atrium,97405,Atrium,1.0
Family household,97168,Family household,1.0
"Married couple, no children",97169,Married couple no children,0.9925925925925926
"Male householder, no spouse",97170,Male householder no spouse,0.9925925925925926
"Female householder, no spouse",97171,Female householder no spouse,0.993103448275862
Cooperative household,97172,Cooperative household,1.0
Nonfamily household,97173,Nonfamily household,1.0
Single male,97174,Single male,1.0
Single female,97175,Single female,1.0
Student community,97176,Student community,1.0
Military community,97177,Military community,1.0
Independent seniors community,97178,Independent seniors community,1.0
Special accessibility needs community,97179,Special accessibility needs community,1.0
Government subsidized community,97180,Government subsidized community,1.0
Therapeutic community,97181,Therapeutic community,1.0
No specific occupant type,97182,No specific occupant type,1.0
For-profit organization,97183,For profit organization,0.9478919631093544
Religious organization,97688,Religious organization,1.0
Non-profit organization,97185,Non profit organization,0.9478919631093544
Government organization,97186,Government organization,1.0
Federal government,97693,Federal government,1.0
State government,97694,State government,1.0
Local government,97695,Local government,1.0
Property,97190,Property,1.0
Animals,97191,Animals,1.0
Vacant,97193,Vacant,1.0
Peak total occupants,97195,Peak total occupants,1.0
Adults,97196,Adults,1.0
Children,97197,Children,1.0
Average residents,97198,Average residents,1.0
Workers on main shift,97199,Workers on main shift,1.0
Full-time equivalent workers,97200,Full time equivalent workers,0.9264550264550264
Average daily salaried labor hours,97201,Average daily salaried labor hours,1.0
Registered students,97202,Registered students,1.0
Licensed beds,97204,Licensed beds,1.0
Capacity,97205,Capacity,1.0
Capacity percentage,97206,Capacity percentage,1.0
Hours per day,,,
Hours per week,,,
Hours per month,,,
Hours per year,,,
Days per week,,,
Days per month,,,
Days per year,,,
Weeks per month,,,
Weeks per year,,,
Months per year,,,
Common,103463,Common,1.0
Gross,103059,Gross,1.0
Net,103107,Net,1.0
Finished,103061,Finished,1.0
Footprint,103062,Footprint,1.0
Rentable,103063,Rentable,1.0
Occupied,103064,Occupied,1.0
Lighted,103065,Light,0.9428571428571428
Daylit,103066,Daily,0.9022222222222223
Heated,103067,Heated,1.0
Cooled,103068,Cooled,1.0
Conditioned,103069,Conditioned,1.0
Unconditioned,103070,Unconditioned,1.0
Semi-conditioned,103071,Semi conditioned,0.975
Heated and Cooled,,,
Heated only,103073,Heated,0.9090909090909091
Cooled only,103074,Cooled,0.9090909090909091
Ventilated,103075,Ventilated,1.0
Enclosed,103076,Enclosed,1.0
Non-Enclosed,103077,Non enclosed,0.9222222222222223
Open,103078,Open,1.0
Lot,103661,Lot,1.0
Property management company,97686,Property management company,1.0
Corporation/partnership/LLC,97687,Corporation partnership LLC,0.9703703703703704
Individual,97689,Individual,1.0
Franchise,97690,Franchise,1.0
Other non-government,97691,Other non government,0.98
Government,97692,Government,1.0
Owned,97698,Owned,1.0
Mortgaged,97699,Mortgaged,1.0
Leased,97700,Leased,1.0
Rented,97701,Rented,1.0
Occupied without payment of rent,97702,Occupied without payment of rent,1.0
North,103640,North,1.0
Northeast,103641,Northeast,1.0
East,103642,East,1.0
Southeast,103643,Southeast,1.0
South,103644,South,1.0
Southwest,103645,Southwest,1.0
West,103646,West,1.0
Northwest,103647,Northwest,1.0
Alley,103435,Alley,1.0
Annex,103436,Annex,1.0
Arcade,103437,Arcade,1.0
Avenue,103438,Avenue,1.0
Bayou,103439,Bayou,1.0
Beach,103440,Beach,1.0
Bend,103441,Bend,1.0
Bluff,103442,Bluff,1.0
Bluffs,103443,Bluffs,1.0
Bottom,103444,Bottom,1.0
Boulevard,103445,Boulevard,1.0
Branch,103446,Branch,1.0
Bridge,103447,Bridge,1.0
Brook,103448,Brook,1.0
Brooks,103449,Brooks,1.0
Burg,103450,Burg,1.0
Burgs,103451,Burgs,1.0
Bypass,103452,Bypass,1.0
Camp,103453,Camp,1.0
Canyon,103454,Canyon,1.0
Cape,103455,Cape,1.0
Causeway,103456,Causeway,1.0
Center,103457,Center,1.0
Centers,103458,Centers,1.0
Circle,103459,Circle,1.0
Circles,103460,Circles,1.0
Cliff,103461,Cliff,1.0
Club,103462,Club,1.0
Commons,103464,Commons,1.0
Corner,103465,Corner,1.0
Corners,103466,Corners,1.0
Course,103467,Course,1.0
Court,103468,Court,1.0
Courts,103469,Courts,1.0
Cove,103470,Cove,1.0
Coves,103471,Coves,1.0
Creek,103472,Creek,1.0
Crescent,103473,Crescent,1.0
Crest,103474,Crest,1.0
Crossing,103475,Crossing,1.0
Crossroad,103476,Crossroad,1.0
Crossroads,103477,Crossroads,1.0
Curve,103478,Curve,1.0
Dale,103479,Dale,1.0
Dam,103480,Dam,1.0
Divide,103481,Divide,1.0
Drive,103482,Drive,1.0
Drives,103483,Drives,1.0
Estate,103484,Estate,1.0
Estates,103485,Estates,1.0
Expressway,103486,Expressway,1.0
Extension,103487,Extension,1.0
Extensions,103488,Extensions,1.0
Fall,103489,Fall,1.0
Falls,103490,Falls,1.0
Ferry,103491,Ferry,1.0
Field,103492,Field,1.0
Fields,103493,Fields,1.0
Flat,103494,Flat,1.0
Flats,103495,Flats,1.0
Ford,103496,Ford,1.0
Fords,103497,Fords,1.0
Forest,103498,Forest,1.0
Forge,103499,Forge,1.0
Forges,103500,Forges,1.0
Fork,103501,Fork,1.0
Forks,103502,Forks,1.0
Fort,103503,Fort,1.0
Freeway,103504,Freeway,1.0
Garden,103505,Garden,1.0
Gardens,103506,Gardens,1.0
Gateway,103507,Gateway,1.0
Glen,103508,Glen,1.0
Glens,103509,Glens,1.0
Green,103510,Green,1.0
Greens,103511,Greens,1.0
Grove,103512,Grove,1.0
Groves,103513,Groves,1.0
Harbor,103514,Harbor,1.0
Harbors,103515,Harbors,1.0
Haven,103516,Haven,1.0
Heights,103517,Heights,1.0
Highway,103518,Highway,1.0
Hill,103519,Hill,1.0
Hills,103520,Hills,1.0
Hollow,103521,Hollow,1.0
Inlet,103522,Inlet,1.0
Island,103523,Island,1.0
Islands,103524,Islands,1.0
Isle,103525,Isle,1.0
Junction,103526,Junction,1.0
Junctions,103527,Junctions,1.0
Key,103659,Key,1.0
Keys,103529,Keys,1.0
Knoll,103530,Knoll,1.0
Knolls,103531,Knolls,1.0
Lake,103532,Lake,1.0
Lakes,103533,Lakes,1.0
Land,103534,Land,1.0
Landing,103535,Landing,1.0
Lane,103536,Lane,1.0
Light,103537,Light,1.0
Lights,103538,Lights,1.0
Loaf,103539,Loaf,1.0
Lock,103540,Lock,1.0
Locks,103541,Locks,1.0
Lodge,103542,Lodge,1.0
Loop,103543,Loop,1.0
Mall,103544,Mall,1.0
Manor,103545,Manor,1.0
Manors,103546,Manors,1.0
Meadow,103547,Meadow,1.0
Meadows,103548,Meadows,1.0
Mews,103549,Mews,1.0
Mill,103550,Mill,1.0
Mills,103551,Mills,1.0
Mission,103552,Mission,1.0
Motorway,103553,Motorway,1.0
Mount,103554,Mount,1.0
Mountain,103555,Mountain,1.0
Mountains,103556,Mountains,1.0
Neck,103557,Neck,1.0
Orchard,103558,Orchard,1.0
Oval,103559,Oval,1.0
Overpass,103560,Overpass,1.0
Park,103561,Park,1.0
Parks,103562,Parks,1.0
Parkway,103563,Parkway,1.0
Parkways,103564,Parkways,1.0
Pass,103565,Pass,1.0
Passage,103566,Passage,1.0
Path,103567,Path,1.0
Pike,103568,Pike,1.0
Pine,103569,Pine,1.0
Pines,103570,Pines,1.0
Place,103571,Place,1.0
Plain,103572,Plain,1.0
Plains,103573,Plains,1.0
Plaza,103574,Plaza,1.0
Point,103575,Point,1.0
Points,103576,Points,1.0
Port,103577,Port,1.0
Ports,103578,Ports,1.0
Prairie,103579,Prairie,1.0
Radial,103580,Radial,1.0
Ramp,103581,Ramp,1.0
Ranch,103582,Ranch,1.0
Rapid,103583,Rapid,1.0
Rapids,103584,Rapids,1.0
Rest,103585,Rest,1.0
Ridge,103586,Ridge,1.0
Ridges,103587,Ridges,1.0
River,103588,River,1.0
Road,103589,Road,1.0
Roads,103590,Roads,1.0
Route,103591,Route,1.0
Row,103592,Row,1.0
Rue,103593,Rue,1.0
Run,103594,Run,1.0
Shoal,103595,Shoal,1.0
Shoals,103596,Shoals,1.0
Shore,103597,Shore,1.0
Shores,103598,Shores,1.0
Skyway,103599,Skyway,1.0
Spring,103600,Spring,1.0
Springs,103601,Springs,1.0
Spur,103602,Spur,1.0
Spurs,103603,Spurs,1.0
Square,103604,Square,1.0
Squares,103605,Squares,1.0
Station,103606,Station,1.0
Stravenue,103607,Stravenue,1.0
Stream,103608,Stream,1.0
Street,103609,Street,1.0
Streets,103610,Streets,1.0
Summit,103611,Summit,1.0
Terrace,103612,Terrace,1.0
Throughway,103613,Throughway,1.0
Trace,103614,Trace,1.0
Track,103615,Track,1.0
Trafficway,103616,Trafficway,1.0
Trail,103617,Trail,1.0
Trailer,103677,Trailer,1.0
Tunnel,103619,Tunnel,1.0
Turnpike,103620,Turnpike,1.0
Underpass,103621,Underpass,1.0
Union,103622,Union,1.0
